@relation WekaDemo

@attribute team {Barcelona,Atlético,R.Madrid,Málaga,Betis,Rayo,Levante,Valencia,R.Sociedad,Valladolid,Sevilla,Getafe,Athletic,Zaragoza,Espanyol,Celta,Granada,Osasuna,Mallorca,Deportivo,Elche,Almería,Girona,Alcorcón,BarcelonaB,Córdoba,LasPalmas,Villarreal,Sabadell,Lugo,Ponferradina,Recreativo,Numancia,Sporting,Murcia,RMCastilla,Guadalajara,Mirandés,Huesca,Xerez,Hércules,Racing,}
@attribute visitor {Barcelona,Atlético,R.Madrid,Málaga,Betis,Rayo,Levante,Valencia,R.Sociedad,Valladolid,Sevilla,Getafe,Athletic,Zaragoza,Espanyol,Celta,Granada,Osasuna,Mallorca,Deportivo,Elche,Almería,Girona,Alcorcón,BarcelonaB,Córdoba,LasPalmas,Villarreal,Sabadell,Lugo,Ponferradina,Recreativo,Numancia,Sporting,Murcia,RMCastilla,Guadalajara,Mirandés,Huesca,Xerez,Hércules,Racing,}
@attribute home_points NUMERIC
@attribute home_diff NUMERIC
@attribute home_wins NUMERIC
@attribute home_draws NUMERIC
@attribute home_loses NUMERIC
@attribute visitor_points NUMERIC
@attribute visitor_diff NUMERIC
@attribute visitor_wins NUMERIC
@attribute visitor_draws NUMERIC
@attribute visitor_loses NUMERIC
@attribute home_historial NUMERIC
@attribute visitor_historial NUMERIC
@attribute result {WIN,DRAW,LOOSE}

@data
Rayo,Getafe,35,-6,11,2,9,27,-10,7,6,9,10,3,WIN
Getafe,Rayo,27,-10,7,6,9,35,-6,11,2,9,3,10,LOOSE
Granada,Valencia,21,-14,5,6,11,34,-4,10,4,8,5,10,LOOSE
Valencia,Granada,34,-4,10,4,8,21,-14,5,6,11,10,5,WIN
Sevilla,Osasuna,27,-2,7,6,9,19,-9,4,7,11,8,5,WIN
Osasuna,Sevilla,19,-9,4,7,11,27,-2,7,6,9,5,8,LOOSE
R.Madrid,R.Sociedad,44,34,13,5,4,31,4,8,7,7,11,6,WIN
R.Sociedad,R.Madrid,31,4,8,7,7,44,34,13,5,4,6,11,LOOSE
Deportivo,Málaga,17,-19,3,8,11,36,14,10,6,6,5,5,WIN
Málaga,Deportivo,36,14,10,6,6,17,-19,3,8,11,5,5,LOOSE
Barcelona,Espanyol,59,47,19,2,1,23,-9,5,8,9,10,8,WIN
Espanyol,Barcelona,23,-9,5,8,9,59,47,19,2,1,8,10,LOOSE
Celta,Valladolid,21,-5,5,6,11,29,3,8,5,9,6,7,WIN
Valladolid,Celta,29,3,8,5,9,21,-5,5,6,11,7,6,LOOSE
Mallorca,Atlético,18,-17,4,6,12,48,21,15,3,4,2,8,DRAW
Atlético,Mallorca,48,21,15,3,4,18,-17,4,6,12,8,2,DRAW
Zaragoza,Betis,24,-9,7,3,12,36,-2,11,3,8,2,8,LOOSE
Betis,Zaragoza,36,-2,11,3,8,24,-9,7,3,12,8,2,WIN
Levante,Athletic,34,-4,10,4,8,26,-13,7,5,10,7,5,WIN
Athletic,Levante,26,-13,7,5,10,34,-4,10,4,8,5,7,LOOSE
Betis,Mallorca,36,-2,11,3,8,18,-17,4,6,12,8,2,LOOSE
Mallorca,Betis,18,-17,4,6,12,36,-2,11,3,8,2,8,WIN
Athletic,Zaragoza,26,-13,7,5,10,24,-9,7,3,12,5,2,LOOSE
Zaragoza,Athletic,24,-9,7,3,12,26,-13,7,5,10,2,5,WIN
Rayo,Levante,35,-6,11,2,9,34,-4,10,4,8,10,7,WIN
Levante,Rayo,34,-4,10,4,8,35,-6,11,2,9,7,10,LOOSE
Valencia,Getafe,34,-4,10,4,8,27,-10,7,6,9,10,3,WIN
Getafe,Valencia,27,-10,7,6,9,34,-4,10,4,8,3,10,LOOSE
Osasuna,Granada,19,-9,4,7,11,21,-14,5,6,11,5,5,LOOSE
Granada,Osasuna,21,-14,5,6,11,19,-9,4,7,11,5,5,WIN
R.Sociedad,Sevilla,31,4,8,7,7,27,-2,7,6,9,6,8,WIN
Sevilla,R.Sociedad,27,-2,7,6,9,31,4,8,7,7,8,6,LOOSE
Málaga,R.Madrid,36,14,10,6,6,44,34,13,5,4,5,11,WIN
R.Madrid,Málaga,44,34,13,5,4,36,14,10,6,6,11,5,LOOSE
Espanyol,Deportivo,23,-9,5,8,9,17,-19,3,8,11,8,5,WIN
Deportivo,Espanyol,17,-19,3,8,11,23,-9,5,8,9,5,8,LOOSE
Atlético,Celta,48,21,15,3,4,21,-5,5,6,11,8,6,WIN
Celta,Atlético,21,-5,5,6,11,48,21,15,3,4,6,8,LOOSE
Valladolid,Barcelona,29,3,8,5,9,59,47,19,2,1,7,10,LOOSE
Barcelona,Valladolid,59,47,19,2,1,29,3,8,5,9,10,7,WIN
Valencia,Rayo,34,-4,10,4,8,35,-6,11,2,9,10,10,LOOSE
