@relation WekaDemo

@attribute team {Barcelona,Atlético,R.Madrid,Málaga,Betis,Rayo,Levante,Valencia,R.Sociedad,Valladolid,Sevilla,Getafe,Athletic,Zaragoza,Espanyol,Celta,Granada,Osasuna,Mallorca,Deportivo,Elche,Almería,Girona,Alcorcón,BarcelonaB,Córdoba,LasPalmas,Villarreal,Sabadell,Lugo,Ponferradina,Recreativo,Numancia,Sporting,Murcia,RMCastilla,Guadalajara,Mirandés,Huesca,Xerez,Hércules,Racing,}
@attribute visitor {Barcelona,Atlético,R.Madrid,Málaga,Betis,Rayo,Levante,Valencia,R.Sociedad,Valladolid,Sevilla,Getafe,Athletic,Zaragoza,Espanyol,Celta,Granada,Osasuna,Mallorca,Deportivo,Elche,Almería,Girona,Alcorcón,BarcelonaB,Córdoba,LasPalmas,Villarreal,Sabadell,Lugo,Ponferradina,Recreativo,Numancia,Sporting,Murcia,RMCastilla,Guadalajara,Mirandés,Huesca,Xerez,Hércules,Racing,}
@attribute home_points NUMERIC
@attribute home_diff NUMERIC
@attribute home_wins NUMERIC
@attribute home_draws NUMERIC
@attribute home_loses NUMERIC
@attribute visitor_points NUMERIC
@attribute visitor_diff NUMERIC
@attribute visitor_wins NUMERIC
@attribute visitor_draws NUMERIC
@attribute visitor_loses NUMERIC
@attribute home_historial NUMERIC
@attribute visitor_historial NUMERIC
@attribute result {WIN,DRAW,LOOSE}

@data
Athletic,Valencia,26,-13,7,5,10,34,-4,10,4,8,5,10,LOOSE
Getafe,Levante,27,-10,7,6,9,34,-4,10,4,8,3,7,LOOSE
Levante,Getafe,34,-4,10,4,8,27,-10,7,6,9,7,3,WIN
Granada,Zaragoza,21,-14,5,6,11,24,-9,7,3,12,5,2,LOOSE
Zaragoza,Granada,24,-9,7,3,12,21,-14,5,6,11,2,5,WIN
Sevilla,Mallorca,27,-2,7,6,9,18,-17,4,6,12,8,2,WIN
Mallorca,Sevilla,18,-17,4,6,12,27,-2,7,6,9,2,8,LOOSE
R.Madrid,Celta,44,34,13,5,4,21,-5,5,6,11,11,6,WIN
Celta,R.Madrid,21,-5,5,6,11,44,34,13,5,4,6,11,LOOSE
Deportivo,Barcelona,17,-19,3,8,11,59,47,19,2,1,5,10,LOOSE
Barcelona,Deportivo,59,47,19,2,1,17,-19,3,8,11,10,5,WIN
Valladolid,Espanyol,29,3,8,5,9,23,-9,5,8,9,7,8,DRAW
Espanyol,Valladolid,23,-9,5,8,9,29,3,8,5,9,8,7,DRAW
Atlético,Málaga,48,21,15,3,4,36,14,10,6,6,8,5,WIN
Málaga,Atlético,36,14,10,6,6,48,21,15,3,4,5,8,LOOSE
Betis,R.Sociedad,36,-2,11,3,8,31,4,8,7,7,8,6,WIN
R.Sociedad,Betis,31,4,8,7,7,36,-2,11,3,8,6,8,LOOSE
Athletic,Osasuna,26,-13,7,5,10,19,-9,4,7,11,5,5,WIN
Osasuna,Athletic,19,-9,4,7,11,26,-13,7,5,10,5,5,LOOSE
Levante,Valencia,34,-4,10,4,8,34,-4,10,4,8,7,10,WIN
Valencia,Levante,34,-4,10,4,8,34,-4,10,4,8,10,7,LOOSE
Zaragoza,Getafe,24,-9,7,3,12,27,-10,7,6,9,2,3,LOOSE
Getafe,Zaragoza,27,-10,7,6,9,24,-9,7,3,12,3,2,WIN
Mallorca,Granada,18,-17,4,6,12,21,-14,5,6,11,2,5,LOOSE
Granada,Mallorca,21,-14,5,6,11,18,-17,4,6,12,5,2,WIN
Celta,Sevilla,21,-5,5,6,11,27,-2,7,6,9,6,8,WIN
Sevilla,Celta,27,-2,7,6,9,21,-5,5,6,11,8,6,LOOSE
Barcelona,R.Madrid,59,47,19,2,1,44,34,13,5,4,10,11,DRAW
R.Madrid,Barcelona,44,34,13,5,4,59,47,19,2,1,11,10,DRAW
Rayo,Deportivo,35,-6,11,2,9,17,-19,3,8,11,10,5,WIN
Deportivo,Rayo,17,-19,3,8,11,35,-6,11,2,9,5,10,LOOSE
Valladolid,Rayo,29,3,8,5,9,35,-6,11,2,9,7,10,WIN
Rayo,Valladolid,35,-6,11,2,9,29,3,8,5,9,10,7,LOOSE
Espanyol,Atlético,23,-9,5,8,9,48,21,15,3,4,8,8,LOOSE
Atlético,Espanyol,48,21,15,3,4,23,-9,5,8,9,8,8,WIN
Málaga,Betis,36,14,10,6,6,36,-2,11,3,8,5,8,WIN
Betis,Málaga,36,-2,11,3,8,36,14,10,6,6,8,5,LOOSE
R.Sociedad,Athletic,31,4,8,7,7,26,-13,7,5,10,6,5,WIN
Athletic,R.Sociedad,26,-13,7,5,10,31,4,8,7,7,5,6,LOOSE
Osasuna,Levante,19,-9,4,7,11,34,-4,10,4,8,5,7,WIN
Levante,Osasuna,34,-4,10,4,8,19,-9,4,7,11,7,5,LOOSE
Valencia,Zaragoza,34,-4,10,4,8,24,-9,7,3,12,10,2,WIN
Zaragoza,Valencia,24,-9,7,3,12,34,-4,10,4,8,2,10,LOOSE
Getafe,Mallorca,27,-10,7,6,9,18,-17,4,6,12,3,2,WIN
Mallorca,Getafe,18,-17,4,6,12,27,-10,7,6,9,2,3,LOOSE
Granada,Celta,21,-14,5,6,11,21,-5,5,6,11,5,6,WIN
Celta,Granada,21,-5,5,6,11,21,-14,5,6,11,6,5,LOOSE
Sevilla,Barcelona,27,-2,7,6,9,59,47,19,2,1,8,10,LOOSE
Barcelona,Sevilla,59,47,19,2,1,27,-2,7,6,9,10,8,WIN
R.Madrid,Deportivo,44,34,13,5,4,17,-19,3,8,11,11,5,WIN
Deportivo,R.Madrid,17,-19,3,8,11,44,34,13,5,4,5,11,LOOSE
Atlético,Valladolid,48,21,15,3,4,29,3,8,5,9,8,7,WIN
Valladolid,Atlético,29,3,8,5,9,48,21,15,3,4,7,8,LOOSE
Betis,Espanyol,36,-2,11,3,8,23,-9,5,8,9,8,8,WIN
Espanyol,Betis,23,-9,5,8,9,36,-2,11,3,8,8,8,LOOSE
Athletic,Málaga,26,-13,7,5,10,36,14,10,6,6,5,5,DRAW
Málaga,Athletic,36,14,10,6,6,26,-13,7,5,10,5,5,DRAW
Levante,R.Sociedad,34,-4,10,4,8,31,4,8,7,7,7,6,WIN
R.Sociedad,Levante,31,4,8,7,7,34,-4,10,4,8,6,7,LOOSE
Zaragoza,Osasuna,24,-9,7,3,12,19,-9,4,7,11,2,5,WIN
Osasuna,Zaragoza,19,-9,4,7,11,24,-9,7,3,12,5,2,LOOSE
Mallorca,Valencia,18,-17,4,6,12,34,-4,10,4,8,2,10,WIN
Valencia,Mallorca,34,-4,10,4,8,18,-17,4,6,12,10,2,LOOSE
Celta,Getafe,21,-5,5,6,11,27,-10,7,6,9,6,3,WIN
Getafe,Celta,27,-10,7,6,9,21,-5,5,6,11,3,6,LOOSE
Barcelona,Granada,59,47,19,2,1,21,-14,5,6,11,10,5,WIN
Granada,Barcelona,21,-14,5,6,11,59,47,19,2,1,5,10,LOOSE
Deportivo,Sevilla,17,-19,3,8,11,27,-2,7,6,9,5,8,LOOSE
Sevilla,Deportivo,27,-2,7,6,9,17,-19,3,8,11,8,5,WIN
Rayo,R.Madrid,35,-6,11,2,9,44,34,13,5,4,10,11,LOOSE
R.Madrid,Rayo,44,34,13,5,4,35,-6,11,2,9,11,10,WIN
Atlético,Rayo,48,21,15,3,4,35,-6,11,2,9,8,10,WIN
Rayo,Atlético,35,-6,11,2,9,48,21,15,3,4,10,8,LOOSE
Valladolid,Betis,29,3,8,5,9,36,-2,11,3,8,7,8,LOOSE
Betis,Valladolid,36,-2,11,3,8,29,3,8,5,9,8,7,WIN
Espanyol,Athletic,23,-9,5,8,9,26,-13,7,5,10,8,5,DRAW
Athletic,Espanyol,26,-13,7,5,10,23,-9,5,8,9,5,8,DRAW
Málaga,Levante,36,14,10,6,6,34,-4,10,4,8,5,7,WIN
Levante,Málaga,34,-4,10,4,8,36,14,10,6,6,7,5,LOOSE
R.Sociedad,Zaragoza,31,4,8,7,7,24,-9,7,3,12,6,2,WIN
Zaragoza,R.Sociedad,24,-9,7,3,12,31,4,8,7,7,2,6,LOOSE
Osasuna,Mallorca,19,-9,4,7,11,18,-17,4,6,12,5,2,DRAW
Mallorca,Osasuna,18,-17,4,6,12,19,-9,4,7,11,2,5,DRAW
Valencia,Celta,34,-4,10,4,8,21,-5,5,6,11,10,6,WIN
Celta,Valencia,21,-5,5,6,11,34,-4,10,4,8,6,10,LOOSE
Getafe,Barcelona,27,-10,7,6,9,59,47,19,2,1,3,10,LOOSE
Barcelona,Getafe,59,47,19,2,1,27,-10,7,6,9,10,3,WIN
Granada,Deportivo,21,-14,5,6,11,17,-19,3,8,11,5,5,DRAW
Deportivo,Granada,17,-19,3,8,11,21,-14,5,6,11,5,5,DRAW
Sevilla,R.Madrid,27,-2,7,6,9,44,34,13,5,4,8,11,WIN
R.Madrid,Sevilla,44,34,13,5,4,27,-2,7,6,9,11,8,LOOSE
Betis,Atlético,36,-2,11,3,8,48,21,15,3,4,8,8,LOOSE
Atlético,Betis,48,21,15,3,4,36,-2,11,3,8,8,8,WIN
Zaragoza,Málaga,24,-9,7,3,12,36,14,10,6,6,2,5,LOOSE
Málaga,Zaragoza,36,14,10,6,6,24,-9,7,3,12,5,2,WIN
Mallorca,R.Sociedad,18,-17,4,6,12,31,4,8,7,7,2,6,WIN
R.Sociedad,Mallorca,31,4,8,7,7,18,-17,4,6,12,6,2,LOOSE
Celta,Osasuna,21,-5,5,6,11,19,-9,4,7,11,6,5,WIN
Osasuna,Celta,19,-9,4,7,11,21,-5,5,6,11,5,6,LOOSE
Barcelona,Valencia,59,47,19,2,1,34,-4,10,4,8,10,10,WIN
Valencia,Barcelona,34,-4,10,4,8,59,47,19,2,1,10,10,LOOSE
Deportivo,Getafe,17,-19,3,8,11,27,-10,7,6,9,5,3,DRAW
Getafe,Deportivo,27,-10,7,6,9,17,-19,3,8,11,3,5,DRAW
R.Madrid,Granada,44,34,13,5,4,21,-14,5,6,11,11,5,WIN
Granada,R.Madrid,21,-14,5,6,11,44,34,13,5,4,5,11,LOOSE
Rayo,Sevilla,35,-6,11,2,9,27,-2,7,6,9,10,8,DRAW
Sevilla,Rayo,27,-2,7,6,9,35,-6,11,2,9,8,10,DRAW
Levante,Espanyol,34,-4,10,4,8,23,-9,5,8,9,7,8,WIN
Espanyol,Levante,23,-9,5,8,9,34,-4,10,4,8,8,7,LOOSE
Athletic,Valladolid,26,-13,7,5,10,29,3,8,5,9,5,7,WIN
Valladolid,Athletic,29,3,8,5,9,26,-13,7,5,10,7,5,LOOSE
Valladolid,Levante,29,3,8,5,9,34,-4,10,4,8,7,7,WIN
Levante,Valladolid,34,-4,10,4,8,29,3,8,5,9,7,7,LOOSE
Espanyol,Zaragoza,23,-9,5,8,9,24,-9,7,3,12,8,2,LOOSE
Zaragoza,Espanyol,24,-9,7,3,12,23,-9,5,8,9,2,8,WIN
Málaga,Mallorca,36,14,10,6,6,18,-17,4,6,12,5,2,DRAW
Mallorca,Málaga,18,-17,4,6,12,36,14,10,6,6,2,5,DRAW
R.Sociedad,Celta,31,4,8,7,7,21,-5,5,6,11,6,6,WIN
Celta,R.Sociedad,21,-5,5,6,11,31,4,8,7,7,6,6,LOOSE
Osasuna,Barcelona,19,-9,4,7,11,59,47,19,2,1,5,10,LOOSE
Barcelona,Osasuna,59,47,19,2,1,19,-9,4,7,11,10,5,WIN
Valencia,Deportivo,34,-4,10,4,8,17,-19,3,8,11,10,5,DRAW
Deportivo,Valencia,17,-19,3,8,11,34,-4,10,4,8,5,10,DRAW
Getafe,R.Madrid,27,-10,7,6,9,44,34,13,5,4,3,11,WIN
R.Madrid,Getafe,44,34,13,5,4,27,-10,7,6,9,11,3,LOOSE
Granada,Sevilla,21,-14,5,6,11,27,-2,7,6,9,5,8,DRAW
Sevilla,Granada,27,-2,7,6,9,21,-14,5,6,11,8,5,DRAW
Betis,Rayo,36,-2,11,3,8,35,-6,11,2,9,8,10,LOOSE
Rayo,Betis,35,-6,11,2,9,36,-2,11,3,8,10,8,WIN
Atlético,Athletic,48,21,15,3,4,26,-13,7,5,10,8,5,WIN
Athletic,Atlético,26,-13,7,5,10,48,21,15,3,4,5,8,LOOSE
Barcelona,R.Sociedad,59,47,19,2,1,31,4,8,7,7,10,6,WIN
R.Sociedad,Barcelona,31,4,8,7,7,59,47,19,2,1,6,10,LOOSE
Levante,Atlético,34,-4,10,4,8,48,21,15,3,4,7,8,DRAW
Atlético,Levante,48,21,15,3,4,34,-4,10,4,8,8,7,DRAW
Athletic,Betis,26,-13,7,5,10,36,-2,11,3,8,5,8,LOOSE
Betis,Athletic,36,-2,11,3,8,26,-13,7,5,10,8,5,WIN
Zaragoza,Valladolid,24,-9,7,3,12,29,3,8,5,9,2,7,LOOSE
Valladolid,Zaragoza,29,3,8,5,9,24,-9,7,3,12,7,2,WIN
R.Madrid,Valencia,44,34,13,5,4,34,-4,10,4,8,11,10,DRAW
Valencia,R.Madrid,34,-4,10,4,8,44,34,13,5,4,10,11,DRAW
Celta,Málaga,21,-5,5,6,11,36,14,10,6,6,6,5,LOOSE
Málaga,Celta,36,14,10,6,6,21,-5,5,6,11,5,6,WIN
Sevilla,Getafe,27,-2,7,6,9,27,-10,7,6,9,8,3,WIN
Getafe,Sevilla,27,-10,7,6,9,27,-2,7,6,9,3,8,LOOSE
Mallorca,Espanyol,18,-17,4,6,12,23,-9,5,8,9,2,8,WIN
Espanyol,Mallorca,23,-9,5,8,9,18,-17,4,6,12,8,2,LOOSE
Rayo,Granada,35,-6,11,2,9,21,-14,5,6,11,10,5,WIN
Granada,Rayo,21,-14,5,6,11,35,-6,11,2,9,5,10,LOOSE
Deportivo,Osasuna,17,-19,3,8,11,19,-9,4,7,11,5,5,WIN
Osasuna,Deportivo,19,-9,4,7,11,17,-19,3,8,11,5,5,LOOSE
BarcelonaB,Almería,39,15,11,6,6,42,12,12,6,5,9,12,LOOSE
Almería,BarcelonaB,42,12,12,6,5,39,15,11,6,6,12,9,WIN
Villarreal,RMCastilla,35,4,9,8,6,25,0,7,4,12,13,6,WIN
RMCastilla,Villarreal,25,0,7,4,12,35,4,9,8,6,6,13,LOOSE
Girona,Sabadell,41,15,12,5,6,33,6,9,6,8,10,8,DRAW
Sabadell,Girona,33,6,9,6,8,41,15,12,5,6,8,10,DRAW
Alcorcón,Guadalajara,41,4,13,2,8,25,-5,6,7,10,10,1,DRAW
Guadalajara,Alcorcón,25,-5,6,7,10,41,4,13,2,8,1,10,DRAW
Elche,Ponferradina,53,22,16,5,2,32,0,10,2,11,15,3,WIN
Ponferradina,Elche,32,0,10,2,11,53,22,16,5,2,3,15,LOOSE
Lugo,Hércules,33,-4,9,6,8,20,-14,5,5,13,6,3,WIN
Hércules,Lugo,20,-14,5,5,13,33,-4,9,6,8,3,6,LOOSE
Racing,LasPalmas,18,-17,4,6,13,36,1,10,6,7,5,4,LOOSE
LasPalmas,Racing,36,1,10,6,7,18,-17,4,6,13,4,5,WIN
Murcia,Córdoba,27,-5,7,6,10,36,6,10,6,7,8,5,DRAW
Córdoba,Murcia,36,6,10,6,7,27,-5,7,6,10,5,8,DRAW
Numancia,Sporting,29,-2,7,8,8,28,-1,6,10,7,6,2,WIN
Sporting,Numancia,28,-1,6,10,7,29,-2,7,8,8,2,6,LOOSE
Mirandés,Huesca,24,-6,5,9,9,23,-9,5,8,10,5,8,LOOSE
Huesca,Mirandés,23,-9,5,8,10,24,-6,5,9,9,8,5,WIN
Xerez,Recreativo,22,-15,5,7,11,31,-7,9,4,10,6,7,WIN
Recreativo,Xerez,31,-7,9,4,10,22,-15,5,7,11,7,6,LOOSE
Almería,Xerez,42,12,12,6,5,22,-15,5,7,11,12,6,WIN
Xerez,Almería,22,-15,5,7,11,42,12,12,6,5,6,12,LOOSE
RMCastilla,BarcelonaB,25,0,7,4,12,39,15,11,6,6,6,9,WIN
BarcelonaB,RMCastilla,39,15,11,6,6,25,0,7,4,12,9,6,LOOSE
Sabadell,Villarreal,33,6,9,6,8,35,4,9,8,6,8,13,DRAW
Villarreal,Sabadell,35,4,9,8,6,33,6,9,6,8,13,8,DRAW
Guadalajara,Girona,25,-5,6,7,10,41,15,12,5,6,1,10,LOOSE
Girona,Guadalajara,41,15,12,5,6,25,-5,6,7,10,10,1,WIN
Ponferradina,Alcorcón,32,0,10,2,11,41,4,13,2,8,3,10,WIN
Alcorcón,Ponferradina,41,4,13,2,8,32,0,10,2,11,10,3,LOOSE
Hércules,Elche,20,-14,5,5,13,53,22,16,5,2,3,15,LOOSE
Elche,Hércules,53,22,16,5,2,20,-14,5,5,13,15,3,WIN
LasPalmas,Lugo,36,1,10,6,7,33,-4,9,6,8,4,6,DRAW
Lugo,LasPalmas,33,-4,9,6,8,36,1,10,6,7,6,4,DRAW
Córdoba,Racing,36,6,10,6,7,18,-17,4,6,13,5,5,WIN
Racing,Córdoba,18,-17,4,6,13,36,6,10,6,7,5,5,LOOSE
Sporting,Murcia,28,-1,6,10,7,27,-5,7,6,10,2,8,LOOSE
Murcia,Sporting,27,-5,7,6,10,28,-1,6,10,7,8,2,WIN
Huesca,Numancia,23,-9,5,8,10,29,-2,7,8,8,8,6,DRAW
Numancia,Huesca,29,-2,7,8,8,23,-9,5,8,10,6,8,DRAW
Recreativo,Mirandés,31,-7,9,4,10,24,-6,5,9,9,7,5,WIN
Mirandés,Recreativo,24,-6,5,9,9,31,-7,9,4,10,5,7,LOOSE
Xerez,Mirandés,22,-15,5,7,11,24,-6,5,9,9,6,5,LOOSE
Mirandés,Xerez,24,-6,5,9,9,22,-15,5,7,11,5,6,WIN
Almería,RMCastilla,42,12,12,6,5,25,0,7,4,12,12,6,WIN
RMCastilla,Almería,25,0,7,4,12,42,12,12,6,5,6,12,LOOSE
BarcelonaB,Sabadell,39,15,11,6,6,33,6,9,6,8,9,8,WIN
Sabadell,BarcelonaB,33,6,9,6,8,39,15,11,6,6,8,9,LOOSE
Villarreal,Guadalajara,35,4,9,8,6,25,-5,6,7,10,13,1,WIN
Guadalajara,Villarreal,25,-5,6,7,10,35,4,9,8,6,1,13,LOOSE
Girona,Ponferradina,41,15,12,5,6,32,0,10,2,11,10,3,WIN
Ponferradina,Girona,32,0,10,2,11,41,15,12,5,6,3,10,LOOSE
Alcorcón,Hércules,41,4,13,2,8,20,-14,5,5,13,10,3,WIN
Hércules,Alcorcón,20,-14,5,5,13,41,4,13,2,8,3,10,LOOSE
Elche,LasPalmas,53,22,16,5,2,36,1,10,6,7,15,4,WIN
LasPalmas,Elche,36,1,10,6,7,53,22,16,5,2,4,15,LOOSE
Lugo,Córdoba,33,-4,9,6,8,36,6,10,6,7,6,5,DRAW
Córdoba,Lugo,36,6,10,6,7,33,-4,9,6,8,5,6,DRAW
Racing,Sporting,18,-17,4,6,13,28,-1,6,10,7,5,2,DRAW
Sporting,Racing,28,-1,6,10,7,18,-17,4,6,13,2,5,DRAW
Murcia,Huesca,27,-5,7,6,10,23,-9,5,8,10,8,8,WIN
Huesca,Murcia,23,-9,5,8,10,27,-5,7,6,10,8,8,LOOSE
Numancia,Recreativo,29,-2,7,8,8,31,-7,9,4,10,6,7,DRAW
Recreativo,Numancia,31,-7,9,4,10,29,-2,7,8,8,7,6,DRAW
RMCastilla,Xerez,25,0,7,4,12,22,-15,5,7,11,6,6,WIN
Xerez,RMCastilla,22,-15,5,7,11,25,0,7,4,12,6,6,LOOSE
Sabadell,Almería,33,6,9,6,8,42,12,12,6,5,8,12,WIN
Almería,Sabadell,42,12,12,6,5,33,6,9,6,8,12,8,LOOSE
Guadalajara,BarcelonaB,25,-5,6,7,10,39,15,11,6,6,1,9,LOOSE
BarcelonaB,Guadalajara,39,15,11,6,6,25,-5,6,7,10,9,1,WIN
Ponferradina,Villarreal,32,0,10,2,11,35,4,9,8,6,3,13,LOOSE
Villarreal,Ponferradina,35,4,9,8,6,32,0,10,2,11,13,3,WIN
Hércules,Girona,20,-14,5,5,13,41,15,12,5,6,3,10,WIN
Girona,Hércules,41,15,12,5,6,20,-14,5,5,13,10,3,LOOSE
LasPalmas,Alcorcón,36,1,10,6,7,41,4,13,2,8,4,10,LOOSE
Alcorcón,LasPalmas,41,4,13,2,8,36,1,10,6,7,10,4,WIN
Córdoba,Elche,36,6,10,6,7,53,22,16,5,2,5,15,LOOSE
Elche,Córdoba,53,22,16,5,2,36,6,10,6,7,15,5,WIN
Sporting,Lugo,28,-1,6,10,7,33,-4,9,6,8,2,6,DRAW
Lugo,Sporting,33,-4,9,6,8,28,-1,6,10,7,6,2,DRAW
Huesca,Racing,23,-9,5,8,10,18,-17,4,6,13,8,5,DRAW
Racing,Huesca,18,-17,4,6,13,23,-9,5,8,10,5,8,DRAW
Recreativo,Murcia,31,-7,9,4,10,27,-5,7,6,10,7,8,WIN
Murcia,Recreativo,27,-5,7,6,10,31,-7,9,4,10,8,7,LOOSE
Mirandés,Numancia,24,-6,5,9,9,29,-2,7,8,8,5,6,DRAW
Numancia,Mirandés,29,-2,7,8,8,24,-6,5,9,9,6,5,DRAW
RMCastilla,Sabadell,25,0,7,4,12,33,6,9,6,8,6,8,LOOSE
Sabadell,RMCastilla,33,6,9,6,8,25,0,7,4,12,8,6,WIN
Almería,Guadalajara,42,12,12,6,5,25,-5,6,7,10,12,1,WIN
Guadalajara,Almería,25,-5,6,7,10,42,12,12,6,5,1,12,LOOSE
BarcelonaB,Ponferradina,39,15,11,6,6,32,0,10,2,11,9,3,WIN
Ponferradina,BarcelonaB,32,0,10,2,11,39,15,11,6,6,3,9,LOOSE
Villarreal,Hércules,35,4,9,8,6,20,-14,5,5,13,13,3,WIN
Hércules,Villarreal,20,-14,5,5,13,35,4,9,8,6,3,13,LOOSE
Girona,LasPalmas,41,15,12,5,6,36,1,10,6,7,10,4,WIN
LasPalmas,Girona,36,1,10,6,7,41,15,12,5,6,4,10,LOOSE
Alcorcón,Córdoba,41,4,13,2,8,36,6,10,6,7,10,5,WIN
Córdoba,Alcorcón,36,6,10,6,7,41,4,13,2,8,5,10,LOOSE
Elche,Sporting,53,22,16,5,2,28,-1,6,10,7,15,2,WIN
Sporting,Elche,28,-1,6,10,7,53,22,16,5,2,2,15,LOOSE
Lugo,Huesca,33,-4,9,6,8,23,-9,5,8,10,6,8,LOOSE
Huesca,Lugo,23,-9,5,8,10,33,-4,9,6,8,8,6,WIN
Racing,Recreativo,18,-17,4,6,13,31,-7,9,4,10,5,7,WIN
Recreativo,Racing,31,-7,9,4,10,18,-17,4,6,13,7,5,LOOSE
Murcia,Mirandés,27,-5,7,6,10,24,-6,5,9,9,8,5,DRAW
Mirandés,Murcia,24,-6,5,9,9,27,-5,7,6,10,5,8,DRAW
Xerez,Numancia,22,-15,5,7,11,29,-2,7,8,8,6,6,WIN
Numancia,Xerez,29,-2,7,8,8,22,-15,5,7,11,6,6,LOOSE
Sabadell,Xerez,33,6,9,6,8,22,-15,5,7,11,8,6,WIN
Xerez,Sabadell,22,-15,5,7,11,33,6,9,6,8,6,8,LOOSE
Guadalajara,RMCastilla,25,-5,6,7,10,25,0,7,4,12,1,6,LOOSE
RMCastilla,Guadalajara,25,0,7,4,12,25,-5,6,7,10,6,1,WIN
Ponferradina,Almería,32,0,10,2,11,42,12,12,6,5,3,12,DRAW
Almería,Ponferradina,42,12,12,6,5,32,0,10,2,11,12,3,DRAW
Hércules,BarcelonaB,20,-14,5,5,13,39,15,11,6,6,3,9,LOOSE
BarcelonaB,Hércules,39,15,11,6,6,20,-14,5,5,13,9,3,WIN
LasPalmas,Villarreal,36,1,10,6,7,35,4,9,8,6,4,13,DRAW
Villarreal,LasPalmas,35,4,9,8,6,36,1,10,6,7,13,4,DRAW
Córdoba,Girona,36,6,10,6,7,41,15,12,5,6,5,10,WIN
Girona,Córdoba,41,15,12,5,6,36,6,10,6,7,10,5,LOOSE
Sporting,Alcorcón,28,-1,6,10,7,41,4,13,2,8,2,10,WIN
Alcorcón,Sporting,41,4,13,2,8,28,-1,6,10,7,10,2,LOOSE
Huesca,Elche,23,-9,5,8,10,53,22,16,5,2,8,15,DRAW
Elche,Huesca,53,22,16,5,2,23,-9,5,8,10,15,8,DRAW
Recreativo,Lugo,31,-7,9,4,10,33,-4,9,6,8,7,6,WIN
Lugo,Recreativo,33,-4,9,6,8,31,-7,9,4,10,6,7,LOOSE
Mirandés,Racing,24,-6,5,9,9,18,-17,4,6,13,5,5,LOOSE
Racing,Mirandés,18,-17,4,6,13,24,-6,5,9,9,5,5,WIN
Numancia,Murcia,29,-2,7,8,8,27,-5,7,6,10,6,8,WIN
Murcia,Numancia,27,-5,7,6,10,29,-2,7,8,8,8,6,LOOSE
Sabadell,Guadalajara,33,6,9,6,8,25,-5,6,7,10,8,1,WIN
Guadalajara,Sabadell,25,-5,6,7,10,33,6,9,6,8,1,8,LOOSE
RMCastilla,Ponferradina,25,0,7,4,12,32,0,10,2,11,6,3,LOOSE
Ponferradina,RMCastilla,32,0,10,2,11,25,0,7,4,12,3,6,WIN
Almería,Hércules,42,12,12,6,5,20,-14,5,5,13,12,3,DRAW
Hércules,Almería,20,-14,5,5,13,42,12,12,6,5,3,12,DRAW
BarcelonaB,LasPalmas,39,15,11,6,6,36,1,10,6,7,9,4,DRAW
LasPalmas,BarcelonaB,36,1,10,6,7,39,15,11,6,6,4,9,DRAW
Villarreal,Córdoba,35,4,9,8,6,36,6,10,6,7,13,5,WIN
Córdoba,Villarreal,36,6,10,6,7,35,4,9,8,6,5,13,LOOSE
Girona,Sporting,41,15,12,5,6,28,-1,6,10,7,10,2,WIN
Sporting,Girona,28,-1,6,10,7,41,15,12,5,6,2,10,LOOSE
Alcorcón,Huesca,41,4,13,2,8,23,-9,5,8,10,10,8,WIN
Huesca,Alcorcón,23,-9,5,8,10,41,4,13,2,8,8,10,LOOSE
Elche,Recreativo,53,22,16,5,2,31,-7,9,4,10,15,7,WIN
Recreativo,Elche,31,-7,9,4,10,53,22,16,5,2,7,15,LOOSE
Lugo,Mirandés,33,-4,9,6,8,24,-6,5,9,9,6,5,WIN
Mirandés,Lugo,24,-6,5,9,9,33,-4,9,6,8,5,6,LOOSE
Racing,Numancia,18,-17,4,6,13,29,-2,7,8,8,5,6,DRAW
Numancia,Racing,29,-2,7,8,8,18,-17,4,6,13,6,5,DRAW
Xerez,Murcia,22,-15,5,7,11,27,-5,7,6,10,6,8,LOOSE
Murcia,Xerez,27,-5,7,6,10,22,-15,5,7,11,8,6,WIN
Guadalajara,Xerez,25,-5,6,7,10,22,-15,5,7,11,1,6,DRAW
Xerez,Guadalajara,22,-15,5,7,11,25,-5,6,7,10,6,1,DRAW
Ponferradina,Sabadell,32,0,10,2,11,33,6,9,6,8,3,8,WIN
Sabadell,Ponferradina,33,6,9,6,8,32,0,10,2,11,8,3,LOOSE
Hércules,RMCastilla,20,-14,5,5,13,25,0,7,4,12,3,6,LOOSE
RMCastilla,Hércules,25,0,7,4,12,20,-14,5,5,13,6,3,WIN
LasPalmas,Almería,36,1,10,6,7,42,12,12,6,5,4,12,LOOSE
Almería,LasPalmas,42,12,12,6,5,36,1,10,6,7,12,4,WIN
Córdoba,BarcelonaB,36,6,10,6,7,39,15,11,6,6,5,9,WIN
BarcelonaB,Córdoba,39,15,11,6,6,36,6,10,6,7,9,5,LOOSE
Sporting,Villarreal,28,-1,6,10,7,35,4,9,8,6,2,13,WIN
Villarreal,Sporting,35,4,9,8,6,28,-1,6,10,7,13,2,LOOSE
Huesca,Girona,23,-9,5,8,10,41,15,12,5,6,8,10,DRAW
Girona,Huesca,41,15,12,5,6,23,-9,5,8,10,10,8,DRAW
Recreativo,Alcorcón,31,-7,9,4,10,41,4,13,2,8,7,10,WIN
Alcorcón,Recreativo,41,4,13,2,8,31,-7,9,4,10,10,7,LOOSE
